feature,coef,abs_coef,is_zero
alcohol_excessive,0.0,0.0,True
metabolic_syndrome_IDF,0.0,0.0,True
metabolic_syndrome_NCEP,0.0,0.0,True
occ_stairs,0.0,0.0,True
hypertension,0.0,0.0,True
alcohol_binge,0.0,0.0,True
framingham_cvd_model1,0.0,0.0,True
framingham_cvd_model2,0.0,0.0,True
hypertriglyceridemia,0.0,0.0,True
race_raw_1,0.0,0.0,True
sex_female,0.0,0.0,True
race_raw_2,0.0,0.0,True
low_hdl,0.0,0.0,True
framingham_chd_chol,0.0,0.0,True
framingham_chd_ldl,0.0,0.0,True
occupation_3,0.0,0.0,True
occupation_2,0.0,0.0,True
smoking_status_2,0.0,0.0,True
smoking_status_-1,0.0,0.0,True
physical_activity_ipaq_1,0.0,0.0,True
physical_activity_ipaq_-1,0.0,0.0,True
physical_activity_ipaq_2,0.0,0.0,True
alcohol_use_-1,0.0,0.0,True
alcohol_use_0,0.0,0.0,True
alcohol_use_2,0.0,0.0,True
