Feature,Importance_Mean,Importance_Std,Model
age,0.03894342013463214,0.008451100517292394,RandomForest
history_surgery,0.03055941032557989,0.009556065009709359,RandomForest
bmi,0.027620375541563637,0.01190875507952043,RandomForest
framingham_cvd_model2,0.012013399461821006,0.006242548572518767,RandomForest
frequent_symptoms,0.011545305937775852,0.006220997357103915,RandomForest
history_trauma,0.01123458798717115,0.004287182292121797,RandomForest
recent_pain_7d,0.004140311512121575,0.0066309781628535475,RandomForest
knee_disability,0.003606202590703869,0.004533903558605357,RandomForest
abdominal_obesity,0.0020817208061477866,0.003426481989115337,RandomForest
sex_female,0.0016361554422134183,0.003860221616741866,RandomForest
smoking_status_0,0.0012974874639105894,0.0014926322036342037,RandomForest
sit_stand_test,0.001260298048460542,0.004596819507808798,RandomForest
occ_squatting,0.0009550220841493751,0.0017262640529394177,RandomForest
occupation_4,0.0008854776073479842,0.002404106993805383,RandomForest
physical_activity_ipaq_2,0.0008782914097495232,0.0014124302217253786,RandomForest
framingham_cvd_model1,0.0007853623536304521,0.006500021716817735,RandomForest
alcohol_binge,0.0006650884972694504,0.001265292912214735,RandomForest
occupation_1,0.0006407309967018015,0.001660559328509698,RandomForest
alcohol_excessive,0.00040787352290264865,0.001167181662676525,RandomForest
occupation_-1,0.000392923403503973,0.0006011540063689951,RandomForest
low_hdl,0.0003752990165487979,0.0013303108693305942,RandomForest
occ_kneeling,0.0003587142452808445,0.0014011888854377698,RandomForest
occupation_3,0.0002973984338382207,0.0013156633214256499,RandomForest
race_raw_4,0.00029687435760320733,0.00046163138977839126,RandomForest
race_raw_-1,0.0002716278396337035,0.00042894422010375,RandomForest
hypertension,0.00020114816602808004,0.002317284898174147,RandomForest
race_raw_2,0.0001981013649383234,0.0017929379725817205,RandomForest
diabetes,0.00017345055965348966,0.002272736245582109,RandomForest
race_raw_1,1.8216551044138996e-05,0.0015498175939717555,RandomForest
physical_activity_ipaq_1,5.3401945370712415e-06,0.0018967305920239038,RandomForest
alcohol_use_-1,0.0,0.0,RandomForest
smoking_status_-1,0.0,0.0,RandomForest
physical_activity_ipaq_-1,0.0,0.0,RandomForest
race_raw_3,-3.3236133733658416e-05,0.0008803285053505903,RandomForest
occupation_2,-0.00010311721679372887,0.0001871894733170312,RandomForest
race_raw_5,-0.0001105976300782352,0.0002653957300031939,RandomForest
smoking_status_2,-0.00015092316155599584,0.0009477648850674917,RandomForest
low_hdl_meds,-0.00016359567702859402,0.0015211532223515295,RandomForest
alcohol_use_2,-0.0001818023012275294,0.0012192697499865256,RandomForest
metabolic_syndrome_IDF,-0.0003845576934578032,0.0017755217925131573,RandomForest
physical_activity_ipaq_3,-0.0004031153552889055,0.0007823834099324298,RandomForest
alcohol_use_1,-0.00046739216925723693,0.0007639492847826027,RandomForest
alcohol_use_0,-0.0005250213983459995,0.0010156247652694436,RandomForest
framingham_chd_chol,-0.0006880283398824138,0.00340945652480315,RandomForest
occ_stairs,-0.0008149883464732932,0.0012520743868404077,RandomForest
hypertriglyceridemia,-0.0011794703431835928,0.001482122043639041,RandomForest
metabolic_syndrome_JIS,-0.0013513672194573932,0.0014548809455850208,RandomForest
smoking_status_1,-0.0014518956405735084,0.0016296025370052532,RandomForest
metabolic_syndrome_NCEP,-0.0016350441233808244,0.001737357271819803,RandomForest
hypertrig_meds,-0.001750568067395508,0.0016689377318477416,RandomForest
framingham_chd_ldl,-0.002319086400877568,0.0029355303503163887,RandomForest
waist_hip_ratio,-0.0026027770320146224,0.002992510340834955,RandomForest
