dictionary_name,base,risk_factor_or_marker,description,type,elsa_wave,code,label,comments
ELSA ME LB,Radiografia de joelhos,Radiografia,Classificação KL TF PA Joelho Direito,,2,b_kld,0=KL0; 1=KL1; 2= KL≥2; 5=Alteração/significado duvidoso; 6=Prótese; 7=Alteração que não permite avaliação de OA sintomática; 8=Alteração na qualidade da imagem que não permite classificação; 9=Imagem não disponível,
Dicionario_base_elsa_onda_3_010321,,,Classificação KL TF PA Joelho Direito,,3,c_kld,0=KL0; 1=KL1; 2= KL≥2; 5=Alteração/significado duvidoso; 6=Prótese; 7=Alteração que não permite avaliação de OA sintomática; 8=Alteração na qualidade da imagem que não permite classificação; 9=Imagem não disponível,Já existe?
ELSA ME LB,,,Classificação KL TF PA Joelho Esquerdo,,2,b_kle,0=KL0; 1=KL1; 2= KL≥2; 5=Alteração/significado duvidoso; 6=Prótese; 7=Alteração que não permite avaliação de OA sintomática; 8=Alteração na qualidade da imagem que não permite classificação; 9=Imagem não disponível,
Dicionario_base_elsa_onda_3_010321,,,Classificação KL TF PA Joelho Esquerdo,,3,c_kle,0=KL0; 1=KL1; 2= KL≥2; 5=Alteração/significado duvidoso; 6=Prótese; 7=Alteração que não permite avaliação de OA sintomática; 8=Alteração na qualidade da imagem que não permite classificação; 9=Imagem não disponível,
ELSA ME LB,,,Classificação KL PF Perfil Joelho Direito,,2,b_klpfd,0=KL0; 1=KL1; 2= KL≥2; 5=Alteração/significado duvidoso; 6=Prótese; 7=Alteração que não permite avaliação de OA sintomática; 8=Alteração na qualidade da imagem que não permite classificação; 9=Imagem não disponível,Já existe?
Dicionario_base_elsa_onda_3_010321,,,Classificação KL PF Perfil Joelho Direito,,3,c_klpfd,0=KL0; 1=KL1; 2= KL≥2; 5=Alteração/significado duvidoso; 6=Prótese; 7=Alteração que não permite avaliação de OA sintomática; 8=Alteração na qualidade da imagem que não permite classificação; 9=Imagem não disponível,
ELSA ME LB,,,Classificação KL PF Perfil Joelho Esquerdo,,2,b_klpfe,0=KL0; 1=KL1; 2= KL≥2; 5=Alteração/significado duvidoso; 6=Prótese; 7=Alteração que não permite avaliação de OA sintomática; 8=Alteração na qualidade da imagem que não permite classificação; 9=Imagem não disponível,
ELSA ME LB,,,Classificação OA PF Perfil Joelho Direito,,2,b_oapfd,0=Não; 1=Sim,
ELSA ME LB,,,Classificação OA PF Perfil Joelho Esquerdo,,2,b_oapfe,0=Não; 1=Sim,
Dicionario_base_elsa_onda_3_010321,,,Classificação KL PF Perfil Joelho Esquerdo,,3,c_klpfe,0=KL0; 1=KL1; 2= KL≥2; 5=Alteração/significado duvidoso; 6=Prótese; 7=Alteração que não permite avaliação de OA sintomática; 8=Alteração na qualidade da imagem que não permite classificação; 9=Imagem não disponível,
ELSA ME LB,,,Radiografia,,2,-,Imagens,
Dicionario_base_elsa_onda_3_010321,,,Radiografia,,3,-,Imagens,
Dicionário base onda 4,,,Radiografia,,4,-,Imagens,
ELSA ME LB,,,WOMAC-dor joelho direito,,2,WOMDORD_LB,Discreta,Escore para joelho DIREITO na subsescala de DOR do WOMAC (0-50)
ELSA ME LB,,,WOMAC-dor joelho esquerdo,,2,WOMDORE_LB,Discreta,Escore para joelho ESQUERDO na subsescala de DOR do WOMAC (0-50)
ELSA ME LB,,,WOMAC-rigidez joelho direito,,2,WOMRIGD_LB,Discreta,Escore para joelho DIREITO na subsescala de RIGIDEZ do WOMAC (0-20)
ELSA ME LB,,,WOMAC-rigidez joelho esquerdo,,2,WOMRIGE_LB,Discreta,Escore para joelho ESQUERDO na subsescala de RIGIDEZ do WOMAC (0-20)
ELSA ME LB,,,WOMAC-total joelho direito,,2,WOMTOTD_LB,Discreta,Escore total para joelho DIREITO no WOMAC (0-240)
ELSA ME LB,,,WOMAC-total joelho esquerdo,,2,WOMTOTE_LB,Discreta,Escore total para joelho ESQUERDO no WOMAC (0-240)
ELSA ME LB,WOMAC,Função,WOMAC-função (0-170) joelho direito,,2,WOMFUND_LB,Discreta,Escore para joelho DIREITO na subsescala de FUNÇÃO do WOMAC (0-170)
Dicionario_base_elsa_onda_3_010321,,,WOMAC-função (0-170) joelho direito,,3,,Discreta,
ELSA ME LB,,,WOMAC-função (0-170) joelho esquerdo,,2,WOMFUNE_LB,Discreta,Escore para joelho ESQUERDO na subsescala de FUNÇÃO do WOMAC (0-170)
Dicionario_base_elsa_onda_3_010321,,,WOMAC-função (0-170) joelho esquerdo,,3,,Discreta,
ELSA ME LB,ELSA ME,Sintoma,Sintomas frequentes,,2,DME47a_LB,0=Nenhum; 1=Esquerdo; 2=Direito; 3=Ambos,"Nos últimos 30 dias, dor, desconforto ou rigidez que durou a maioria dos dias em pelo menos 1 mês"
Dicionario_base_elsa_onda_3_010321,,,Dor frequente em joelhos,,3,MSKCC2,0=Nenhum; 1=Esquerdo; 2=Direito; 3=Ambos,
ELSA ME LB,,,Sintomas recentes,,2,DME51_2_LB ,0=Nenhum; 1=Esquerdo; 2=Direito; 3=Ambos,"Nos últimos 7 dias, desde o(a) último (a) (DIA DA SEMANA) aé ontem, o(a) Sr(a) teve dor, desconforto ou rigidez em qual joelho?"
Dicionario_base_elsa_onda_3_010321,,,"Dor, desconforto ou rigidez",,3,MSKCC1,0=Nenhum; 1=Esquerdo; 2=Direito; 3=Ambos,
ELSA ME LB,,,Sintomas incapacitantes,,2,DME49_LB,0=Não; 1=Sim,"Nos últimos 12 meses, o(a) Sr(a) teve dor, desconforto ou rigidez no joelho que o(a) impediu de realiza atividades normais (por exemplo trabalho, atividades domésticas e de lazer)?"
Dicionario_base_elsa_onda_3_010321,,,Incapacidade de joelho,,3,MSKCD23D MSKCD23E MSKCD24D MSKCD24E,0=Não; 1=Sim,
ELSA ME LB,,Fraqueza muscular,Teste de assentar e levantar repetido,,2,TAL_MEAN2TRIALSSG_LB,Contínua,
Dicionario_base_elsa_onda_3_010321,,,Teste de assentar e levantar repetido,,3,"SPPCE3, SPPCE6",Contínua,
ELSA ME LB,,,Sarcopenia,,2,sarcopeniahcat3,,"dinapenia - força de preensão palmar H<27Kg e M<16Kg, sarcopenia - massa magra ajustada por altura H<7,0Kg/m2 e M<5,5Kg/m2 + dinapenia)"
Dicionario_base_elsa_onda_3_010321,,,Sarcopenia,,3,,,
ELSA ME LB,,,Handgrip categorizado,,2,hand_cat,forb 1 2 e 3,"foi medido na direita e esquerda de todo mundo. forb 2 mostra a mão dominante. E os forbd e forbe, utilizar o da mão dominante."
Dicionario_base_elsa_onda_3_010321,,,Handgrip categorizado,,3,,forc 1 2 e 3 ,verificar como está na onda 3. só foi feito na mão dominante. Conferir nomes no dicionário da onda 3 msk
ELSA ME LB,,Lesão articular prévia,História de trauma/lesão em joelhos,,2,FDR2a_LB,0=Nenhum; 1=Esquerdo; 2=Direito; 3=Ambos,O Sr já sofreu algum trauma ou lesão nos joelhos que causou dificuldades para caminhar por pelo menos uma semana?
Dicionario_base_elsa_onda_3_010321,,,História de trauma/lesão em joelhos,,3,,0=Nenhum; 1=Esquerdo; 2=Direito; 3=Ambos,
ELSA ME LB,,,História de cirurgia em joelhos,,2,FDR3a_LB,0=Nenhum; 1=Esquerdo; 2=Direito; 3=Ambos,"Em qual joelho o Sr já se submeteu a qualquer tipo de cirurgia nos joelhos, incluindo artroscopia, reparo de meniscos ou ligamentos, ou substituição da articulação por prótese? (computada por LM)"
Dicionario_base_elsa_onda_3_010321,,,História de cirurgia em joelhos,,3,SPPCB3,0=Nenhum; 1=Esquerdo; 2=Direito; 3=Ambos,
ELSA ME LB,,,Início do sintoma por trauma,,2,DME48_LB,0=Não; 1=Sim,"Nos últimos 12 meses, o(a) Sr(a) teve dor, desconforto ou rigidez no joelho que começou por causa de algum trauma (batida) no joelho?"
Dicionario_base_elsa_onda_3_010321,,,Início da dor por trauma,,3,,0=Não; 1=Sim,
ELSA ME LB,,"Fatores ergonômicos/ocupacionais, Uso repetitivo das articulações","Nos últimos 30 dias, subiu 10 ou mais lances de escada em um mesmo dia",,2,FDR5_LB,0=Não; 1=Sim,"Nos últimos 30 dias, o(a) Sr(a) subiu 10 ou mais lances de escada em um mesmo dia? Um lance contém aproximadamente 10 degraus."
Dicionario_base_elsa_onda_3_010321,,,,,3,MSKCB1,,
ELSA ME LB,,,"Nos últimos 30 dias, se ajoelhou por 30 minutos ou mais em um mesmo dia",,2,FDR6_LB,0=Não; 1=Sim,"Nos últimos 30 dias, o(a) Sr(a) se ajoelhou por 30 minutos ou mais em um mesmo dia?"
Dicionario_base_elsa_onda_3_010321,,,,,3,MSKCB3,,
ELSA ME LB,,,"Nos últimos 30 dias, se agachou por 30 minutos ou mais em um mesmo dia",,2,FDR7_LB,0=Não; 1=Sim,"Nos últimos 30 dias, o(a) Sr(a) se agachou por 30 minutos ou mais em um mesmo dia?"
Dicionario_base_elsa_onda_3_010321,,,,,3,MSKCB5,,
,,Esporte de alto impacto,Acelerômetro,,talvez onda 3,,,Não encontrei
ELSA ME LB,,Genética,HF+ artroplastia,,2,FDR4_LB,0=Não; 1=Sim,"Sua mãe, seu pai, seus irmãos ou irmãs, incluindo meio-irmãos, tiveram que fazer substituição da articulação do joelho por prótese? Considere apenas parentes biológicos (de sangue)"
Dicionario_base_elsa_onda_3_010321,,,,,3,,,
ELSA ME LB,,OAJ radiográfica,Classificação OA joelho D,,2,B_oajoelhod,0=Não; 1=Sim,
Dicionario_base_elsa_onda_3_010321,,,Classificação OA joelho D,,3,,,
ELSA ME LB,,,Classificação OA joelho E,,2,B_oajoelhoe,0=Não; 1=Sim,
Dicionario_base_elsa_onda_3_010321,,,Classificação OA joelho E,,3,,,
ELSA ME LB,,,Classificação OA participante,,2,B_oaindiv,0=Não; 1=Sim,
Dicionario_base_elsa_onda_3_010321,,,Classificação OA participante,,3,,,
ELSA ME LB,,OAJ sintomática,Classificação OA sintomática joelho D,,2,b_oajoelhods,0=Não; 1=Sim,
Dicionario_base_elsa_onda_3_010321,,,Classificação OA sintomática joelho D,,3,,,
ELSA ME LB,,,Classificação OA sintomática joelho E,,2,b_oajoelhoes,0=Não; 1=Sim,
Dicionario_base_elsa_onda_3_010321,,,Classificação OA sintomática joelho E,,3,,,
ELSA ME LB,,,Classificação OA sintomática participante,,2,b_oaindivs,,
Dicionario_base_elsa_onda_3_010321,,,Classificação OA sintomática participante,,3,,,
Base_ELSA_Onda1_150619,,Cor ou raça,Cor ou raça,,1,vifa29,1=Preta; 2=Parda; 3=Branca; 4=Amarela; 5=Indígena; R=Não sabe / Não quer responder; N=Nenhuma resposta,
Base_ELSA_Onda1_150619,ELSA-Brasil Base,Sexo,Sexo,,1,RCTA8,1 = Masculino; 2 = Feminino,
Base_ELSA_Onda1_150619,,Idade,Idade contínua,,1,IDADEA,Discreta,
Base_ELSA_Onda2_150619,,,Idade contínua,,2,IDADEB,Discreta,
base_ELSA_onda3_010321,,,Idade contínua,,3,IDADEC,Discreta,
base_der_onda1_150919,,Nível educacional,Nível educacional,,1,A_ESCOLAR,1= Até fundamental incompleto; 2= Fundamental completo ; 3= Médio completo; 4= Superior Completo,
base_der_onda1_150919,,Nível educacional,Escolaridade da mãe,,1,A_ESCOLARMAE,1= Até fundamental incompleto; 2= Fundamental completo ; 3= Médio completo; 4= Superior Completo,
base_der_onda2_150919,,Nível educacional,Nível educacional,,2,B_ESCOLAR,1= Até fundamental incompleto; 2= Fundamental completo ; 3= Médio completo; 4= Superior Completo,
base_der_onda2_150919,,Renda,Ponto médio da Renda Mensal Familiar,,2,B_VIFB43_PMCAT,621.5 = Ponto Médio da Categoria 1; 1865.5 =Ponto Médio da Categoria 2 ; 3109.5 = Ponto Médio da Categoria 3 ; 4353.5 = Ponto Médio da Categoria 4; 5597.5 = Ponto Médio da Categoria 5 ; 6841.5 = Ponto Médio da Categoria 6 ; 8085.5 =Ponto Médio da Categoria 7 ; 9329.5 = Ponto Médio da Categoria 8 ; 10573.5 = Ponto Médio da Categoria 9 ; 11817.5 = Ponto Médio da Categoria 10,
base_der_onda2_150919,,Renda,Renda per capita,,2,B_RENDAPERCAPITA,Contínua,
base_der_onda1_150919,ELSA-Brasil DER,Idade,Grupo de idade,,1,A_GIDADE,1 = 35 a 44 anos; 2 = 45 a 54 anos; 3 = 55 a 64 anos; 4 = 65 a 74 anos; 5= Mais de 74 anos,
