Scenario,Model,bin,n,mean_predicted,observed,obs_ci_low,obs_ci_high
Without Symptoms,Stepwise LR,0,565,0.012511193395894906,0.01415929203539823,0.007191812298880442,0.027688660132873986
Without Symptoms,Stepwise LR,1,565,0.02454067140326838,0.019469026548672566,0.010905316731481597,0.03452291009992579
Without Symptoms,Stepwise LR,2,565,0.037458290988132935,0.047787610619469026,0.03304763961649476,0.06863527734639506
Without Symptoms,Stepwise LR,3,565,0.05289452676065435,0.03893805309734513,0.02585261079902104,0.05825071549778052
Without Symptoms,Stepwise LR,4,565,0.07182552960402364,0.061946902654867256,0.044875855914616486,0.08493440611401454
Without Symptoms,Stepwise LR,5,565,0.09584220011706517,0.08849557522123894,0.06777010220917817,0.11477893181771764
Without Symptoms,Stepwise LR,6,565,0.13086626640225543,0.12920353982300886,0.10402970614832581,0.15938544494257606
Without Symptoms,Stepwise LR,7,565,0.1816432393683666,0.23008849557522124,0.19727565478785603,0.26654682989645195
Without Symptoms,Stepwise LR,8,565,0.27373150119247136,0.26194690265486725,0.2273858536147358,0.29972315746748995
Without Symptoms,Stepwise LR,9,565,0.5352001880350439,0.5079646017699115,0.4668272868544232,0.5489943447450563
Without Symptoms,XGBoost,0,565,0.017781617377052215,0.012389380530973451,0.006014099981475908,0.025350454317060865
Without Symptoms,XGBoost,1,565,0.030370105938178196,0.017699115044247787,0.009641685405604549,0.032270623292585184
Without Symptoms,XGBoost,2,565,0.04225815115908601,0.05132743362831858,0.035972325612259354,0.07274242761706577
Without Symptoms,XGBoost,3,565,0.05758448030173246,0.05309734513274336,0.037443374885660144,0.07478729647688263
Without Symptoms,XGBoost,4,565,0.07703147223301689,0.07256637168141593,0.0539396159010571,0.09696615492687984
Without Symptoms,XGBoost,5,565,0.1016681140371128,0.09911504424778761,0.07711752939764727,0.12652701342855446
Without Symptoms,XGBoost,6,565,0.1342630318044561,0.11858407079646018,0.09446742300557077,0.14785221928602513
Without Symptoms,XGBoost,7,565,0.18496358995943996,0.21061946902654868,0.17900903004222013,0.24613835517669375
Without Symptoms,XGBoost,8,565,0.2650448465505532,0.2761061946902655,0.2408480241184963,0.31438833202947064
Without Symptoms,XGBoost,9,565,0.48062348123145315,0.48849557522123893,0.4474953633834917,0.5296511687505935
Without Symptoms,Random Forest,0,565,0.017109887795777077,0.008849557522123894,0.003785756871814986,0.020546961160286484
Without Symptoms,Random Forest,1,565,0.03245144116527974,0.021238938053097345,0.01219053646304647,0.036753608501578564
Without Symptoms,Random Forest,2,565,0.04853670883407883,0.05486725663716814,0.03891987511574349,0.07682671438001694
Without Symptoms,Random Forest,3,565,0.06588000479762497,0.0584070796460177,0.04188828890372307,0.08089013685847266
Without Symptoms,Random Forest,4,565,0.0869359365038653,0.047787610619469026,0.03304763961649476,0.06863527734639506
Without Symptoms,Random Forest,5,565,0.11414621298905342,0.12035398230088495,0.09605667014711247,0.14977889027770108
Without Symptoms,Random Forest,6,565,0.14801982696868646,0.1415929203539823,0.11526154534878467,0.17276503267464072
Without Symptoms,Random Forest,7,565,0.1942334973493305,0.19646017699115045,0.16579496710659875,0.23122507304657391
Without Symptoms,Random Forest,8,565,0.26291210155621064,0.2814159292035398,0.24590823253696725,0.31987587801065265
Without Symptoms,Random Forest,9,565,0.4377038925597071,0.4690265486725664,0.42822538899814105,0.5102460436705502
Without Symptoms,Neural Network,0,565,0.006348544241725941,0.04601769911504425,0.031594591535033516,0.06657240729463865
Without Symptoms,Neural Network,1,565,0.02564178422042405,0.03008849557522124,0.018869230481778652,0.04765450514893465
Without Symptoms,Neural Network,2,565,0.04753078708326517,0.04247787610619469,0.028708766213269486,0.062426396349967384
Without Symptoms,Neural Network,3,565,0.07192485735945234,0.05309734513274336,0.037443374885660144,0.07478729647688263
Without Symptoms,Neural Network,4,565,0.10152179629290753,0.07256637168141593,0.0539396159010571,0.09696615492687984
Without Symptoms,Neural Network,5,565,0.13869054268341882,0.12920353982300886,0.10402970614832581,0.15938544494257606
Without Symptoms,Neural Network,6,565,0.18488372300832068,0.08141592920353982,0.06159231214968483,0.10689304934434038
Without Symptoms,Neural Network,7,565,0.2435017735858864,0.18584070796460178,0.15592672635399193,0.21999780499987479
Without Symptoms,Neural Network,8,565,0.33403717771891156,0.2743362831858407,0.23916270955212868,0.31255772846262053
Without Symptoms,Neural Network,9,565,0.5869951976385615,0.4849557522123894,0.4439871186675246,0.5261275772001254
With Symptoms,Stepwise LR,0,565,0.011252522828926777,0.010619469026548672,0.004875832965231178,0.022972803200087946
With Symptoms,Stepwise LR,1,565,0.022474738029879038,0.01592920353982301,0.008402607664191897,0.029993782900780183
With Symptoms,Stepwise LR,2,565,0.0340009887445289,0.023008849557522124,0.013494940223653567,0.03896512287418912
With Symptoms,Stepwise LR,3,565,0.048506451643589674,0.05132743362831858,0.035972325612259354,0.07274242761706577
With Symptoms,Stepwise LR,4,565,0.06591670870712282,0.07256637168141593,0.0539396159010571,0.09696615492687984
With Symptoms,Stepwise LR,5,565,0.09101257262757753,0.10619469026548672,0.08339705278246785,0.13431116257660447
With Symptoms,Stepwise LR,6,565,0.1245083168316008,0.12212389380530973,0.09764774775891828,0.15170373079911295
With Symptoms,Stepwise LR,7,565,0.17724203786277945,0.18053097345132743,0.15100702166711075,0.21436975528710298
With Symptoms,Stepwise LR,8,565,0.27308460944370067,0.2938053097345133,0.25773975050329173,0.3326557869768518
With Symptoms,Stepwise LR,9,565,0.5626839928789293,0.5238938053097345,0.48269036627046114,0.564774528527977
With Symptoms,XGBoost,0,565,0.016862508796353207,0.012389380530973451,0.006014099981475908,0.025350454317060865
With Symptoms,XGBoost,1,565,0.02914707973863167,0.010619469026548672,0.004875832965231178,0.022972803200087946
With Symptoms,XGBoost,2,565,0.041282772622277204,0.04601769911504425,0.031594591535033516,0.06657240729463865
With Symptoms,XGBoost,3,565,0.05494464620024752,0.04601769911504425,0.031594591535033516,0.06657240729463865
With Symptoms,XGBoost,4,565,0.0729507093408466,0.06902654867256637,0.05090272791724331,0.09297120664425831
With Symptoms,XGBoost,5,565,0.09606116804401427,0.10088495575221239,0.07868401279037068,0.12847644816904868
With Symptoms,XGBoost,6,565,0.12920584892277165,0.13451327433628318,0.10883385424905126,0.16512905124150354
With Symptoms,XGBoost,7,565,0.17972544616302552,0.18761061946902655,0.15756880189716171,0.22187164758992262
With Symptoms,XGBoost,8,565,0.26677565688053057,0.26017699115044246,0.225706406960556,0.297886685988452
With Symptoms,XGBoost,9,565,0.5037483709575855,0.5327433628318584,0.4915211388452789,0.5735233466192478
With Symptoms,Random Forest,0,565,0.013829442147526494,0.007079646017699115,0.0027564800670358347,0.018060319831847985
With Symptoms,Random Forest,1,565,0.02723989539699787,0.01415929203539823,0.007191812298880442,0.027688660132873986
With Symptoms,Random Forest,2,565,0.042636561911406676,0.02831858407079646,0.017504991629308374,0.045502825868187276
With Symptoms,Random Forest,3,565,0.060595053493979,0.06371681415929203,0.04637635210129392,0.08694982806055476
With Symptoms,Random Forest,4,565,0.08240711073677086,0.0831858407079646,0.06313239080526525,0.1088688888219776
With Symptoms,Random Forest,5,565,0.10809862461910139,0.09380530973451327,0.07243242432321012,0.12066436410333864
