Scenario,Model,n,events,calibration_slope,slope_ci_low,slope_ci_high,calibration_in_the_large,citl_ci_low,citl_ci_high,n_boot_used
Without Symptoms,Stepwise LR,5650,791,0.9505577792922927,0.8670699100841864,1.0370934258938949,-0.017308060869917978,-0.13035911644256595,0.08940388502794623,2000
Without Symptoms,XGBoost,5650,791,1.0516685081419328,0.958218627375306,1.140855143627389,0.008384208732281961,-0.09843109879682962,0.1102958636582795,2000
Without Symptoms,Random Forest,5650,791,1.1556368302738829,1.0469568028126954,1.2616122470578206,-0.007573238480019673,-0.10913345435091074,0.09068630239817889,2000
Without Symptoms,Neural Network,5650,791,0.7943293201780983,0.7012765747029865,0.8913196476991496,-0.32612376826840117,-0.4401869707960265,-0.21997052301997855,2000
With Symptoms,Stepwise LR,5650,791,0.9475252909953117,0.8664139917478523,1.0344357835510696,-0.011550086380411717,-0.12355848144017718,0.09650370848237133,2000
With Symptoms,XGBoost,5650,791,1.0670032990256262,0.9783284922366201,1.156192684296119,0.009469197590906059,-0.0978274971298219,0.11226690222398401,2000
With Symptoms,Random Forest,5650,791,1.1540513109179555,1.0540184218950894,1.254495197176855,-0.0012469099567323783,-0.10604231103401511,0.10066699305820447,2000
With Symptoms,Neural Network,5650,791,0.8011913840085242,0.7335052266653262,0.8732044937309446,-0.007776786988710649,-0.12486476641834861,0.10939417240100392,2000
Virtual Maximum,XGBoost,5650,791,1.0304210190754306,0.9458036763628355,1.1177095096178387,0.00993927514875248,-0.10132150872687336,0.11678625177761545,2000
Virtual Maximum,Random Forest,5650,791,1.171527276609174,1.0719978268787276,1.275091079226528,-0.006881310068662327,-0.1108466447783264,0.09510142777158567,2000
Virtual Maximum,Neural Network,5650,791,0.8461519084395804,0.7777115650492689,0.9209262289568493,-0.09454869539480737,-0.21221601077822644,0.02106418148813312,2000
