Scenario,Model,threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,net_benefit_gain_vs_best_default
Without Symptoms,Stepwise LR,0.02,0.12330865089398592,0.12244897959183675,0.0,0.0008596713021491731
Without Symptoms,Stepwise LR,0.03,0.11662074628227351,0.11340206185567012,0.0,0.003218684426603391
Without Symptoms,Stepwise LR,0.04,0.10880530973451327,0.10416666666666669,0.0,0.004638643067846587
Without Symptoms,Stepwise LR,0.05,0.10261760596180716,0.09473684210526317,0.0,0.007880763856543987
Without Symptoms,Stepwise LR,0.06,0.09739408774242139,0.08510638297872342,0.0,0.012287704763697976
Without Symptoms,Stepwise LR,0.07,0.09330478637358455,0.07526881720430108,0.0,0.018035969169283475
Without Symptoms,Stepwise LR,0.08,0.08840323201231243,0.06521739130434784,0.0,0.02318584070796459
Without Symptoms,Stepwise LR,0.09,0.08424195273752796,0.05494505494505496,0.0,0.029296897792473006
Without Symptoms,Stepwise LR,0.1,0.08043264503441494,0.04444444444444445,0.0,0.03598820058997049
Without Symptoms,Stepwise LR,0.11,0.0769792184548076,0.03370786516853934,0.0,0.04327135328626826
Without Symptoms,Stepwise LR,0.12,0.07354786806114241,0.02272727272727275,0.0,0.050820595333869664
Without Symptoms,Stepwise LR,0.13,0.07010477062353779,0.011494252873563232,0.0,0.058610517749974556
Without Symptoms,Stepwise LR,0.14,0.06711669067709405,0.0,0.0,0.06711669067709405
Without Symptoms,Stepwise LR,0.15,0.0651535658511192,-0.011764705882352927,0.0,0.0651535658511192
Without Symptoms,Stepwise LR,0.16,0.05978086809945216,-0.023809523809523808,0.0,0.05978086809945216
Without Symptoms,Stepwise LR,0.17,0.057385648789849655,-0.03614457831325302,0.0,0.057385648789849655
Without Symptoms,Stepwise LR,0.18,0.05278653140513706,-0.04878048780487801,0.0,0.05278653140513706
Without Symptoms,Stepwise LR,0.19,0.04971921774281657,-0.061728395061728364,0.0,0.04971921774281657
Without Symptoms,Stepwise LR,0.2,0.04685840707964602,-0.07499999999999998,0.0,0.04685840707964602
Without Symptoms,Stepwise LR,0.21,0.04342556289907024,-0.08860759493670883,0.0,0.04342556289907024
Without Symptoms,Stepwise LR,0.22,0.042337190832766054,-0.10256410256410253,0.0,0.042337190832766054
Without Symptoms,Stepwise LR,0.23,0.03979312722675554,-0.11688311688311687,0.0,0.03979312722675554
Without Symptoms,Stepwise LR,0.24,0.036516068933395436,-0.13157894736842102,0.0,0.036516068933395436
Without Symptoms,Stepwise LR,0.25,0.0343362831858407,-0.1466666666666666,0.0,0.0343362831858407
Without Symptoms,Stepwise LR,0.26,0.03346567806744797,-0.16216216216216217,0.0,0.03346567806744797
Without Symptoms,Stepwise LR,0.27,0.03247908837434841,-0.1780821917808219,0.0,0.03247908837434841
Without Symptoms,Stepwise LR,0.28,0.03208456243854474,-0.19444444444444448,0.0,0.03208456243854474
Without Symptoms,Stepwise LR,0.29,0.03203290539698367,-0.2112676056338028,0.0,0.03203290539698367
Without Symptoms,Stepwise LR,0.3,0.030847029077117574,-0.2285714285714286,0.0,0.030847029077117574
Without Symptoms,Stepwise LR,0.31,0.02940874695395665,-0.24637681159420294,0.0,0.02940874695395665
Without Symptoms,Stepwise LR,0.32,0.026881832378969284,-0.2647058823529412,0.0,0.026881832378969284
Without Symptoms,Stepwise LR,0.33,0.02535992603354906,-0.28358208955223885,0.0,0.02535992603354906
Without Symptoms,Stepwise LR,0.34,0.02499329578975596,-0.3030303030303031,0.0,0.02499329578975596
Without Symptoms,Stepwise LR,0.35,0.02415248468345814,-0.32307692307692304,0.0,0.02415248468345814
Without Symptoms,Stepwise LR,0.36,0.022676991150442482,-0.34375,0.0,0.022676991150442482
Without Symptoms,Stepwise LR,0.37,0.02202556538839725,-0.3650793650793651,0.0,0.02202556538839725
Without Symptoms,Stepwise LR,0.38,0.021101912646303168,-0.3870967741935484,0.0,0.021101912646303168
Without Symptoms,Stepwise LR,0.39,0.01966922965327143,-0.4098360655737705,0.0,0.01966922965327143
Without Symptoms,Stepwise LR,0.4,0.017994100294985247,-0.43333333333333335,0.0,0.017994100294985247
Without Symptoms,Stepwise LR,0.41,0.017822108894555273,-0.4576271186440676,0.0,0.017822108894555273
Without Symptoms,Stepwise LR,0.42,0.01578272810497406,-0.482758620689655,0.0,0.01578272810497406
Without Symptoms,Stepwise LR,0.43,0.015183977643223101,-0.5087719298245613,0.0,0.015183977643223101
Without Symptoms,Stepwise LR,0.44,0.013286978508217445,-0.5357142857142857,0.0,0.013286978508217445
Without Symptoms,Stepwise LR,0.45,0.012534191472244573,-0.5636363636363636,0.0,0.012534191472244573
Without Symptoms,Stepwise LR,0.46,0.013680760406424124,-0.5925925925925926,0.0,0.013680760406424124
Without Symptoms,Stepwise LR,0.47,0.01291033561529471,-0.6226415094339621,0.0,0.01291033561529471
Without Symptoms,Stepwise LR,0.48,0.012117086453369643,-0.6538461538461537,0.0,0.012117086453369643
Without Symptoms,Stepwise LR,0.49,0.011261495748741978,-0.6862745098039215,0.0,0.011261495748741978
Without Symptoms,Stepwise LR,0.5,0.010442477876106197,-0.72,0.0,0.010442477876106197
Without Symptoms,XGBoost,0.02,0.12279934982842695,0.12244897959183675,0.0,0.0003503702365902084
