Scenario,Model,outer_fold,best_params
Without Symptoms,XGBoost,1,"{'subsample': 0.85, 'reg_lambda': 2.0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 2, 'learning_rate': 0.03, 'colsample_bytree': 1.0}"
Without Symptoms,XGBoost,2,"{'subsample': 0.7, 'reg_lambda': 5.0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'colsample_bytree': 0.7}"
Without Symptoms,XGBoost,3,"{'subsample': 0.7, 'reg_lambda': 1.0, 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
Without Symptoms,XGBoost,4,"{'subsample': 0.7, 'reg_lambda': 0.5, 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 2, 'learning_rate': 0.1, 'colsample_bytree': 0.85}"
Without Symptoms,XGBoost,5,"{'subsample': 0.85, 'reg_lambda': 5.0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'colsample_bytree': 0.7}"
Without Symptoms,Random Forest,1,"{'n_estimators': 400, 'min_samples_leaf': 20, 'max_features': 0.3, 'max_depth': 6, 'class_weight': None}"
Without Symptoms,Random Forest,2,"{'n_estimators': 600, 'min_samples_leaf': 20, 'max_features': 0.3, 'max_depth': 10, 'class_weight': None}"
Without Symptoms,Random Forest,3,"{'n_estimators': 200, 'min_samples_leaf': 20, 'max_features': 0.5, 'max_depth': 8, 'class_weight': None}"
Without Symptoms,Random Forest,4,"{'n_estimators': 600, 'min_samples_leaf': 10, 'max_features': 0.3, 'max_depth': 8, 'class_weight': None}"
Without Symptoms,Random Forest,5,"{'n_estimators': 200, 'min_samples_leaf': 20, 'max_features': 0.3, 'max_depth': 6, 'class_weight': None}"
Without Symptoms,Neural Network,1,"{'learning_rate_init': 0.0005, 'hidden_layer_sizes': (128,), 'alpha': 1e-05, 'activation': 'tanh'}"
Without Symptoms,Neural Network,2,"{'learning_rate_init': 0.0005, 'hidden_layer_sizes': (128,), 'alpha': 1e-05, 'activation': 'tanh'}"
Without Symptoms,Neural Network,3,"{'learning_rate_init': 0.0005, 'hidden_layer_sizes': (128,), 'alpha': 0.0001, 'activation': 'tanh'}"
Without Symptoms,Neural Network,4,"{'learning_rate_init': 0.001, 'hidden_layer_sizes': (128,), 'alpha': 0.1, 'activation': 'tanh'}"
Without Symptoms,Neural Network,5,"{'learning_rate_init': 0.0005, 'hidden_layer_sizes': (128,), 'alpha': 0.0001, 'activation': 'tanh'}"
