Scenario,Model,AUC,AUC_CI_Low,AUC_CI_High,Brier,Brier_CI_Low,Brier_CI_High
Without Symptoms,Stepwise LR,0.8087789962661336,0.7885553562280252,0.8283346261845131,0.09759244232706725,0.09085881796302964,0.10449515936866802
Without Symptoms,XGBoost,0.7992511452544563,0.7789062476606442,0.818497276735172,0.09914698451757431,0.09241364430636168,0.106047722697258
Without Symptoms,Random Forest,0.7962070202725715,0.7754433623169921,0.8160448709716013,0.10032050743130608,0.09345633944567949,0.10696602443057283
Without Symptoms,Neural Network,0.7761085103067047,0.7526097915658977,0.7989987059391371,0.10265887217455015,0.09606156642389499,0.1089073891716272
With Symptoms,Stepwise LR,0.8200028411833165,0.8003807964447801,0.8394895346994399,0.09496402044714045,0.08830502190507998,0.10157355186888045
With Symptoms,XGBoost,0.8134610946517326,0.793452332889107,0.8324036539328328,0.0965707004070282,0.08989227954298258,0.10326872691512108
With Symptoms,Random Forest,0.8118237717020743,0.7921846610347774,0.8310186604595232,0.09796316221289952,0.0913338619532068,0.10428553307514211
With Symptoms,Neural Network,0.8080914663289857,0.7870600902996004,0.828341513459818,0.09695128492196739,0.08985451482943171,0.10388721593566141
Virtual Maximum,XGBoost,0.820625715987302,0.8016532147893519,0.8390066922151054,0.09608535468578339,0.08951121009886265,0.10271847378462552
Virtual Maximum,Random Forest,0.8145936652539671,0.7955299497841856,0.8336836801867211,0.09758355275775839,0.09102178451859412,0.10397618136065279
Virtual Maximum,Neural Network,0.8148217144459862,0.7950953529909431,0.8341869865362589,0.09660988283117246,0.08963692840802655,0.1034476015593713
