Feature,OR,2.5%,97.5%,P-value,OR (95% CI),Feature Label
age,1.1084029866676148,1.0943131471342447,1.1226742400664733,5.199387241755214e-56,1.11 (1.09-1.12),Age (years)
bmi,1.1501837127452297,1.1242736207667303,1.1766909305958777,2.289862278773337e-33,1.15 (1.12-1.18),Body Mass Index (BMI)
history_surgery,7.848092943466211,5.208164552050566,11.826155305525788,7.000291965781909e-23,7.85 (5.21-11.83),History of Knee Surgery
frequent_symptoms,1.6512902619634535,1.21443072563858,2.2452985350988452,0.0013784297727530458,1.65 (1.21-2.25),Frequent Knee Symptoms
history_trauma,2.1466332935664187,1.6809505206468545,2.741326672289301,9.208566830290527e-10,2.15 (1.68-2.74),History of Knee Trauma
occupation_4,0.679333885583097,0.5433042190220477,0.8494219480425211,0.0006951407068766384,0.68 (0.54-0.85),Occupation (Category 4)
knee_disability,1.58641357898915,1.1657652741966744,2.1588462954820993,0.0033282221112498475,1.59 (1.17-2.16),Knee Disability
waist_hip_ratio,0.09506447074200264,0.02443218124082524,0.36989139481153543,0.0006871048461008742,0.10 (0.02-0.37),Waist-Hip Ratio
recent_pain_7d,1.521431055348551,1.1304600495177322,2.0476198669439998,0.005620850952775264,1.52 (1.13-2.05),Recent Knee Pain (7d)
race_raw_3,0.703618839186653,0.5604079480560376,0.8834269260022488,0.002466216181390522,0.70 (0.56-0.88),Race (Category 3)
