Scenario,Model,ROC_AUC,PR_AUC,PR_CI,prevalence
Without Symptoms,Stepwise LR,0.809,0.452,"(0.407, 0.495)",0.14
Without Symptoms,XGBoost,0.799,0.431,"(0.388, 0.476)",0.14
Without Symptoms,Random Forest,0.796,0.416,"(0.373, 0.460)",0.14
Without Symptoms,Neural Network,0.776,0.431,"(0.385, 0.474)",0.14
With Symptoms,Stepwise LR,0.82,0.476,"(0.432, 0.521)",0.14
With Symptoms,XGBoost,0.813,0.452,"(0.407, 0.495)",0.14
With Symptoms,Random Forest,0.812,0.438,"(0.395, 0.482)",0.14
With Symptoms,Neural Network,0.808,0.464,"(0.419, 0.507)",0.14
Virtual Maximum,XGBoost,0.821,0.457,"(0.412, 0.499)",0.14
Virtual Maximum,Random Forest,0.815,0.444,"(0.402, 0.485)",0.14
Virtual Maximum,Neural Network,0.815,0.462,"(0.420, 0.506)",0.14
