Scenario,Model,n_knees,n_participants,n_events,prevalence,n_features,AUC,AUC_CI_Low,AUC_CI_High,Brier,Brier_CI_Low,Brier_CI_High
Virtual Maximum,XGBoost,5652,2830,746,0.132,60,0.8094102095262244,0.789070127932384,0.82875553370121,0.09406938403844833,0.08673410695046187,0.10071725882589816
Virtual Maximum,Random Forest,5652,2830,746,0.132,60,0.7890958600783196,0.7684696057892434,0.8091560378836112,0.11520291312405147,0.10996143960107442,0.12031994517045785
Virtual Maximum,Neural Network,5652,2830,746,0.132,60,0.7648727716458152,0.7412065360475195,0.785754516642488,0.10684070331029397,0.09894514446196954,0.11426911096651499
With Symptoms,Stepwise (Full),5652,2830,746,0.132,9,0.8237020871745382,0.8039057533926427,0.84195196167126,0.0916066843446461,0.08474993281841703,0.0980425560891815
With Symptoms,XGBoost,5652,2830,746,0.132,60,0.8094102095262244,0.789070127932384,0.82875553370121,0.09406938403844833,0.08673410695046187,0.10071725882589816
With Symptoms,Random Forest,5652,2830,746,0.132,60,0.7890958600783196,0.7684696057892434,0.8091560378836112,0.11520291312405145,0.10996143960107442,0.12031994517045785
With Symptoms,Neural Network,5652,2830,746,0.132,60,0.7648727716458152,0.7412065360475195,0.785754516642488,0.10684070331029397,0.09894514446196954,0.11426911096651499
Without Symptoms,Stepwise (Full),5652,2830,746,0.132,6,0.8104254078553481,0.790403550272952,0.8298401795156019,0.09417971340144345,0.08728580566088863,0.1009920059791322
Without Symptoms,XGBoost,5652,2830,746,0.132,57,0.8033307685834165,0.7833310414258255,0.8228530475073614,0.09539481997489929,0.08814352061599492,0.10203818306326866
Without Symptoms,Random Forest,5652,2830,746,0.132,57,0.7851450431653968,0.7644193269332166,0.8052269604374799,0.11547489283979187,0.1102615236078563,0.12057712695127445
Without Symptoms,Neural Network,5652,2830,746,0.132,57,0.7417252661019116,0.7151538304691216,0.7660668582811471,0.10939620557373746,0.1012579733070116,0.11726733231883257
