Scenario,Model,threshold,n_flagged,pct_flagged,sensitivity,sens_ci_low,sens_ci_high,specificity,spec_ci_low,spec_ci_high,ppv,ppv_ci_low,ppv_ci_high,npv,npv_ci_low,npv_ci_high,tp,fp,fn,tn,is_youden
Without Symptoms,Stepwise LR,0.1,2450,43.36283185840708,0.8268015170670038,0.792758727756108,0.8562614903481075,0.6303766207038485,0.612398737488145,0.6467862827043256,0.26693877551020406,0.24505792891434916,0.2881605956738124,0.9571875,0.9487158054711246,0.9650338446324002,654,1796,137,3063,False
Without Symptoms,Stepwise LR,0.146,1769,31.309734513274336,0.7307206068268015,0.6931509206394987,0.7660249285487456,0.7548878370034987,0.7385131538010348,0.7694709459353236,0.3267382702091577,0.2999410695322151,0.3521795496360843,0.9451172378253028,0.9367640654992266,0.9529992209815632,578,1191,213,3668,True
Without Symptoms,Stepwise LR,0.15,1714,30.336283185840706,0.7206068268015171,0.6828930359630455,0.7565183324528608,0.7645606091788434,0.7483685116229978,0.7793233324074583,0.33255542590431736,0.3047871142816514,0.3582817484706241,0.9438516260162602,0.9349464200508318,0.9517111395271011,570,1144,221,3715,False
Without Symptoms,Stepwise LR,0.2,1251,22.141592920353983,0.584070796460177,0.5415041712608436,0.6243731430779275,0.8376209096521918,0.8228404158597413,0.8499400583027449,0.36930455635491605,0.3365640569110884,0.4004815894342961,0.9252102750625142,0.9154112292769009,0.9346799233039541,462,789,329,4070,False
Without Symptoms,Stepwise LR,0.25,962,17.02654867256637,0.4879898862199747,0.4438704502328791,0.5307270702204263,0.8814570899362009,0.8695208812347759,0.8922858582465569,0.40124740124740127,0.3631428879310345,0.4369688189845475,0.9136092150170648,0.9031700165579402,0.9236027545994093,386,576,405,4283,False
Without Symptoms,Stepwise LR,0.3,720,12.743362831858407,0.427307206068268,0.38762351243251764,0.4696617984381008,0.921383000617411,0.9113127981449294,0.9303436059504941,0.46944444444444444,0.4265251896244967,0.5108206525853585,0.9081135902636917,0.898207618383757,0.9181442871609135,338,382,453,4477,False
Without Symptoms,Stepwise LR,0.4,420,7.433628318584071,0.2895069532237674,0.25396220830473576,0.3277714995139327,0.9606915003087055,0.9536498798787323,0.9669424901259981,0.5452380952380952,0.4903608903463748,0.6011113403608808,0.8925430210325048,0.8815623218119173,0.9030085957608841,229,191,562,4668,False
Without Symptoms,Stepwise LR,0.5,277,4.902654867256637,0.21238938053097345,0.1790483987923999,0.24605565252416756,0.9775674006997325,0.9723014314579838,0.9823943842172791,0.6064981949458483,0.5394999200831135,0.6713860924061604,0.8840498790247534,0.8732131581933337,0.8942909731777267,168,109,623,4750,False
Without Symptoms,XGBoost,0.1,2581,45.68141592920354,0.8242730720606827,0.7897607710717637,0.8549232685994542,0.603004733484256,0.5839169372720872,0.6199290812874203,0.25261526540100737,0.23145746359841157,0.2726626379942308,0.9547083740632127,0.9455552833519777,0.963508125006049,652,1929,139,2930,False
Without Symptoms,XGBoost,0.15,1777,31.451327433628318,0.7104930467762326,0.6747841086579167,0.7473186457846346,0.7499485490841737,0.7327355724177855,0.7650575599495414,0.31626336522228476,0.2890762926207669,0.3403453415091126,0.9408727084947069,0.9316178529144346,0.9492014707507552,562,1215,229,3644,False
Without Symptoms,XGBoost,0.159,1669,29.53982300884956,0.6915297092288243,0.6538917894339216,0.7288996673640483,0.769088289771558,0.752665666152993,0.783769498838643,0.32774116237267825,0.29904860387999727,0.35409651850846896,0.9387088671188144,0.9292066056060647,0.9473687571418968,547,1122,244,3737,True
Without Symptoms,XGBoost,0.2,1257,22.24778761061947,0.5853350189633375,0.5456584090686993,0.6276958416385306,0.8365918913356658,0.8227133650007151,0.8495762955352846,0.36833731105807477,0.3363409411312372,0.39936145678957186,0.9253357614386524,0.9155204356613519,0.9345107358958205,463,794,328,4065,False
Without Symptoms,XGBoost,0.25,915,16.194690265486724,0.48166877370417194,0.43870529245786627,0.5248617034542961,0.8901008437950195,0.8782327333030967,0.9008806162802079,0.4163934426229508,0.37810735887096775,0.4528715655819284,0.9134107708553326,0.9030541574419999,0.9232912134422856,381,534,410,4325,False
Without Symptoms,XGBoost,0.3,673,11.91150442477876,0.3843236409608091,0.3435886935206354,0.4253940222551365,0.9240584482403786,0.9140722759676022,0.9328374014081611,0.45170876671619614,0.4064654971925978,0.4942121671722278,0.9021498894916616,0.8909634941701902,0.9126848130253019,304,369,487,4490,False
Without Symptoms,XGBoost,0.4,386,6.831858407079645,0.2667509481668774,0.22852480570190187,0.3033900669642857,0.9639843589215888,0.957311177760578,0.9701040023002532,0.5466321243523317,0.48410382045683353,0.6039891395154553,0.8898176291793313,0.8792151482264154,0.899642529782346,211,175,580,4684,False
Without Symptoms,XGBoost,0.5,210,3.7168141592920354,0.1731984829329962,0.14139565380292243,0.20576168828274727,0.9849763325787199,0.9810334975244086,0.9887074052198402,0.6523809523809524,0.5771096440872561,0.7251321142473682,0.8797794117647059,0.8690418826537182,0.8903384296609921,137,73,654,4786,False
Without Symptoms,Random Forest,0.1,2807,49.68141592920354,0.8621997471554994,0.8320690118152524,0.8910262645914397,0.5626672154764355,0.5439093773193038,0.5804976203409997,0.2429640185251158,0.22341885024244684,0.2629910549744405,0.9616602180794935,0.953085346215781,0.9698746488066881,682,2125,109,2734,False
Without Symptoms,Random Forest,0.15,1927,34.10619469026548,0.7218710493046776,0.6819879832810867,0.7577737678860494,0.7209302325581395,0.703485339081345,0.7358354461141094,0.2963155163466528,0.2710652822801496,0.32056927115033473,0.940907869997314,0.9319236692752707,0.9495044794994555,571,1356,220,3503,False
Without Symptoms,Random Forest,0.16,1802,31.893805309734514,0.7054361567635904,0.665066569136506,0.7430860368956743,0.7439802428483226,0.7265448148712792,0.7583670785493989,0.30965593784683687,0.28345681393018946,0.33497113958392516,0.9394490644490644,0.9300108926005931,0.9478244990617963,558,1244,233,3615,True
Without Symptoms,Random Forest,0.2,1343,23.76991150442478,0.5979772439949431,0.5542439592659494,0.6410955538569968,0.82095081292447,0.8058939136733043,0.8337087017910598,0.35219657483246464,0.3192501452161646,0.3823122119815668,0.926166705363362,0.9158083775560921,0.935692262736741,473,870,318,3989,False
Without Symptoms,Random Forest,0.25,894,15.823008849557521,0.4715549936788875,0.4278521763315255,0.5129722893338423,0.8927762914179872,0.8814882320653813,0.9029806262390412,0.4172259507829978,0.38038787604020347,0.4546526908050919,0.9121110176619007,0.9018760051980407,0.9218127603043625,373,521,418,4338,False
Without Symptoms,Random Forest,0.3,650,11.504424778761061,0.37420986093552466,0.33072265086145386,0.4158236029311053,0.9271455031899568,0.917405889963057,0.9358710487142193,0.4553846153846154,0.4078811919504644,0.4976194893303243,0.901,0.8905445863329764,0.9110304125839619,296,354,495,4505,False
