feature,n_rows_total,n_missing_cells_to_impute,pct_missing_cells,n_participants_affected,n_rows_dropped_due_to_feature_rule,note
womac_function,5652,2479,43.860580325548476,1335,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
womac_total,5652,2479,43.860580325548476,1335,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
womac_stiffness,5652,2477,43.825194621372965,1334,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
womac_pain,5652,2475,43.789808917197455,1332,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
sit_stand_test,5652,137,2.4239207360226467,71,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
bone_mineral_content_kg,5652,118,2.0877565463552723,62,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
mineral_mass_kg,5652,118,2.0877565463552723,62,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
skeletal_muscle_mass_kg,5652,118,2.0877565463552723,62,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
family_history_knee_replacement,5652,62,1.0969568294409058,31,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
occ_stairs,5652,28,0.4953998584571833,14,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
framingham_cvd_model1,5652,26,0.46001415428167025,13,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
framingham_cvd_model2,5652,26,0.46001415428167025,13,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
hypertrig_meds,5652,26,0.46001415428167025,13,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
occ_squatting,5652,26,0.46001415428167025,13,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
metabolic_syndrome_NCEP,5652,22,0.389242745930644,11,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
low_hdl_meds,5652,20,0.3538570417551309,10,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
metabolic_syndrome_IDF,5652,20,0.3538570417551309,10,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
metabolic_syndrome_JIS,5652,20,0.3538570417551309,10,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
occ_kneeling,5652,20,0.3538570417551309,10,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
knee_disability,5652,18,0.3184713375796179,9,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
alcohol_binge,5652,4,0.07077140835102619,2,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
alcohol_excessive,5652,2,0.035385704175513094,1,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
abdominal_obesity,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
age,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
alcohol_use,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
alcohol_use_-1,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
alcohol_use_0,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
alcohol_use_1,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
alcohol_use_2,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
bmi,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
diabetes,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
framingham_chd_chol,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
framingham_chd_ldl,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
frequent_symptoms,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
history_surgery,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
history_trauma,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
hypertension,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
hypertriglyceridemia,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
low_hdl,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
occupation,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
occupation_-1,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
occupation_1,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
occupation_2,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
occupation_3,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
occupation_4,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
physical_activity_ipaq,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
physical_activity_ipaq_-1,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
physical_activity_ipaq_1,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
physical_activity_ipaq_2,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
physical_activity_ipaq_3,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
race_raw,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
race_raw_-1,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
race_raw_1,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
race_raw_2,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
race_raw_3,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
race_raw_4,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
race_raw_5,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
recent_pain_7d,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
sex_female,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
smoking_status,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
smoking_status_-1,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
smoking_status_0,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
smoking_status_1,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
smoking_status_2,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
waist_hip_ratio,5652,0,0.0,0,0,pipeline uses SimpleImputer(strategy='median'); no row drops for missing features
