feature,n_imputed,pct_imputed
sit_stand_test,137,2.4239207360226467
bone_mineral_content_kg,118,2.0877565463552723
mineral_mass_kg,118,2.0877565463552723
skeletal_muscle_mass_kg,118,2.0877565463552723
occ_stairs,28,0.4953998584571833
framingham_cvd_model1,26,0.46001415428167025
framingham_cvd_model2,26,0.46001415428167025
hypertrig_meds,26,0.46001415428167025
occ_squatting,26,0.46001415428167025
metabolic_syndrome_NCEP,22,0.389242745930644
low_hdl_meds,20,0.3538570417551309
metabolic_syndrome_IDF,20,0.3538570417551309
metabolic_syndrome_JIS,20,0.3538570417551309
occ_kneeling,20,0.3538570417551309
knee_disability,18,0.3184713375796179
alcohol_binge,4,0.07077140835102619
alcohol_excessive,2,0.035385704175513094
abdominal_obesity,0,0.0
age,0,0.0
alcohol_use_-1,0,0.0
alcohol_use_0,0,0.0
alcohol_use_1,0,0.0
alcohol_use_2,0,0.0
bmi,0,0.0
diabetes,0,0.0
framingham_chd_chol,0,0.0
framingham_chd_ldl,0,0.0
frequent_symptoms,0,0.0
history_surgery,0,0.0
history_trauma,0,0.0
hypertension,0,0.0
hypertriglyceridemia,0,0.0
low_hdl,0,0.0
occupation_-1,0,0.0
occupation_1,0,0.0
occupation_2,0,0.0
occupation_3,0,0.0
occupation_4,0,0.0
physical_activity_ipaq_-1,0,0.0
physical_activity_ipaq_1,0,0.0
physical_activity_ipaq_2,0,0.0
physical_activity_ipaq_3,0,0.0
race_raw_-1,0,0.0
race_raw_1,0,0.0
race_raw_2,0,0.0
race_raw_3,0,0.0
race_raw_4,0,0.0
race_raw_5,0,0.0
recent_pain_7d,0,0.0
sex_female,0,0.0
smoking_status_-1,0,0.0
smoking_status_0,0,0.0
smoking_status_1,0,0.0
smoking_status_2,0,0.0
waist_hip_ratio,0,0.0
