feature,coef,abs_coef,is_zero
age,0.7406538657115983,0.7406538657115983,False
bmi,0.50206412859964,0.50206412859964,False
history_surgery,0.35186586597181885,0.35186586597181885,False
history_trauma,0.22198365433545125,0.22198365433545125,False
frequent_symptoms,0.16496875020941495,0.16496875020941495,False
recent_pain_7d,0.14787180346312326,0.14787180346312326,False
occupation_4,-0.1406691956522504,0.1406691956522504,False
race_raw_3,-0.11529361041511647,0.11529361041511647,False
knee_disability,0.11043852127680058,0.11043852127680058,False
occ_squatting,-0.1058114694215561,0.1058114694215561,False
waist_hip_ratio,-0.07485604239589867,0.07485604239589867,False
low_hdl_meds,-0.06537460564005276,0.06537460564005276,False
smoking_status_0,0.06276727640093976,0.06276727640093976,False
race_raw_-1,0.053855284284819664,0.053855284284819664,False
race_raw_4,-0.052539165625563,0.052539165625563,False
diabetes,0.04822870309341184,0.04822870309341184,False
sit_stand_test,0.04258839067006617,0.04258839067006617,False
occ_kneeling,0.04209574158393876,0.04209574158393876,False
abdominal_obesity,0.030286731544444237,0.030286731544444237,False
occupation_1,0.02843061998717532,0.02843061998717532,False
physical_activity_ipaq_3,0.017158631599769016,0.017158631599769016,False
smoking_status_1,-0.013285547314860247,0.013285547314860247,False
race_raw_5,-0.013257079773875503,0.013257079773875503,False
occupation_-1,0.009466570913206584,0.009466570913206584,False
hypertrig_meds,-0.004325941193351064,0.004325941193351064,False
metabolic_syndrome_JIS,-0.0036594125585417982,0.0036594125585417982,False
alcohol_use_1,0.0014282676957668768,0.0014282676957668768,False
alcohol_excessive,0.0,0.0,True
metabolic_syndrome_IDF,0.0,0.0,True
metabolic_syndrome_NCEP,0.0,0.0,True
occ_stairs,0.0,0.0,True
hypertension,0.0,0.0,True
alcohol_binge,0.0,0.0,True
framingham_cvd_model1,0.0,0.0,True
framingham_cvd_model2,0.0,0.0,True
hypertriglyceridemia,0.0,0.0,True
race_raw_1,0.0,0.0,True
sex_female,0.0,0.0,True
race_raw_2,0.0,0.0,True
low_hdl,0.0,0.0,True
framingham_chd_chol,0.0,0.0,True
framingham_chd_ldl,0.0,0.0,True
occupation_3,0.0,0.0,True
occupation_2,0.0,0.0,True
smoking_status_2,0.0,0.0,True
smoking_status_-1,0.0,0.0,True
physical_activity_ipaq_1,0.0,0.0,True
physical_activity_ipaq_-1,0.0,0.0,True
physical_activity_ipaq_2,0.0,0.0,True
alcohol_use_-1,0.0,0.0,True
alcohol_use_0,0.0,0.0,True
alcohol_use_2,0.0,0.0,True
