feature,coef,abs_coef,is_zero
age,0.8187745896163855,0.8187745896163855,False
bmi,0.5142034672498442,0.5142034672498442,False
history_surgery,0.35021544648437347,0.35021544648437347,False
history_trauma,0.22754980020211765,0.22754980020211765,False
bone_mineral_content_kg,0.19265169486712752,0.19265169486712752,False
frequent_symptoms,0.1868590817958511,0.1868590817958511,False
sex_female,0.14084911888054724,0.14084911888054724,False
recent_pain_7d,0.13950495795408904,0.13950495795408904,False
race_raw_3,-0.12428012582540265,0.12428012582540265,False
knee_disability,0.12220831578094883,0.12220831578094883,False
occupation_4,-0.1217591957726304,0.1217591957726304,False
waist_hip_ratio,-0.11655092656572932,0.11655092656572932,False
occ_squatting,-0.08995960390956999,0.08995960390956999,False
low_hdl_meds,-0.0856138530765472,0.0856138530765472,False
race_raw_4,-0.07612340784870139,0.07612340784870139,False
smoking_status_0,0.07210557155155695,0.07210557155155695,False
education_mother_4,0.0570444881357812,0.0570444881357812,False
diabetes,0.054776312965722766,0.054776312965722766,False
education_w2_4,-0.05339028279915707,0.05339028279915707,False
education_w2_2,0.03801234053434736,0.03801234053434736,False
occupation_1,0.030360539100316705,0.030360539100316705,False
occ_kneeling,0.019253903783478105,0.019253903783478105,False
race_raw_5,-0.019055428434631358,0.019055428434631358,False
physical_activity_ipaq_3,0.006436009703882575,0.006436009703882575,False
alcohol_excessive,0.006057960423194583,0.006057960423194583,False
education_w1_3,0.005965644497607068,0.005965644497607068,False
alcohol_binge,-0.004896346280049422,0.004896346280049422,False
family_history_knee_replacement,0.0045338397845369255,0.0045338397845369255,False
hypertrig_meds,-0.0030039322225608608,0.0030039322225608608,False
smoking_status_1,-0.0010502101646909833,0.0010502101646909833,False
skeletal_muscle_mass_kg,0.0,0.0,True
occ_stairs,0.0,0.0,True
hypertension,0.0,0.0,True
sit_stand_test,0.0,0.0,True
mineral_mass_kg,0.0,0.0,True
abdominal_obesity,0.0,0.0,True
income_family_midpoint,0.0,0.0,True
education_mother,0.0,0.0,True
education_w2,0.0,0.0,True
education_w1,0.0,0.0,True
framingham_cvd_model2,0.0,0.0,True
framingham_cvd_model1,0.0,0.0,True
framingham_chd_ldl,0.0,0.0,True
framingham_chd_chol,0.0,0.0,True
low_hdl,0.0,0.0,True
hypertriglyceridemia,0.0,0.0,True
metabolic_syndrome_NCEP,0.0,0.0,True
metabolic_syndrome_IDF,0.0,0.0,True
metabolic_syndrome_JIS,0.0,0.0,True
race_raw_1,0.0,0.0,True
race_raw_2,0.0,0.0,True
income_per_capita,0.0,0.0,True
physical_activity_ipaq_2,0.0,0.0,True
physical_activity_ipaq_1,0.0,0.0,True
smoking_status_2,0.0,0.0,True
occupation_2,0.0,0.0,True
occupation_3,0.0,0.0,True
alcohol_use_2,0.0,0.0,True
alcohol_use_1,0.0,0.0,True
alcohol_use_0,0.0,0.0,True
education_w1_4,0.0,0.0,True
education_w1_2,0.0,0.0,True
education_w1_1,0.0,0.0,True
education_w2_1,0.0,0.0,True
education_w2_3,0.0,0.0,True
education_mother_1,0.0,0.0,True
education_mother_2,0.0,0.0,True
education_mother_3,0.0,0.0,True
