feature,coef,abs_coef,is_zero
age,0.7963865946456059,0.7963865946456059,False
bmi,0.4589049262742437,0.4589049262742437,False
history_surgery,0.35109872301117717,0.35109872301117717,False
bone_mineral_content_kg,0.22382529868041365,0.22382529868041365,False
history_trauma,0.21706786199649913,0.21706786199649913,False
frequent_symptoms,0.1696083588535255,0.1696083588535255,False
occupation_4,-0.1606843487269519,0.1606843487269519,False
sex_female,0.15212305085107067,0.15212305085107067,False
recent_pain_7d,0.14632892043818976,0.14632892043818976,False
race_raw_3,-0.1170866747804027,0.1170866747804027,False
knee_disability,0.10698741179714813,0.10698741179714813,False
occ_squatting,-0.10673657987599958,0.10673657987599958,False
waist_hip_ratio,-0.0729539988514726,0.0729539988514726,False
smoking_status_0,0.06477804838125364,0.06477804838125364,False
low_hdl_meds,-0.05997408706511482,0.05997408706511482,False
diabetes,0.05249182953871724,0.05249182953871724,False
race_raw_-1,0.048742494090282265,0.048742494090282265,False
race_raw_4,-0.04726638003111676,0.04726638003111676,False
occ_kneeling,0.04219033982108377,0.04219033982108377,False
occupation_1,0.03638639925046979,0.03638639925046979,False
sit_stand_test,0.02464376328758811,0.02464376328758811,False
metabolic_syndrome_JIS,-0.016536603479201693,0.016536603479201693,False
smoking_status_1,-0.012579985488228437,0.012579985488228437,False
race_raw_5,-0.01148921674255652,0.01148921674255652,False
physical_activity_ipaq_3,0.006606138490997196,0.006606138490997196,False
occupation_-1,0.006281775537097633,0.006281775537097633,False
hypertrig_meds,-0.0021772458542556462,0.0021772458542556462,False
metabolic_syndrome_IDF,0.0,0.0,True
mineral_mass_kg,0.0,0.0,True
alcohol_binge,0.0,0.0,True
alcohol_excessive,0.0,0.0,True
abdominal_obesity,0.0,0.0,True
metabolic_syndrome_NCEP,0.0,0.0,True
occ_stairs,0.0,0.0,True
hypertension,0.0,0.0,True
skeletal_muscle_mass_kg,0.0,0.0,True
framingham_cvd_model2,0.0,0.0,True
framingham_chd_ldl,0.0,0.0,True
framingham_cvd_model1,0.0,0.0,True
race_raw_1,0.0,0.0,True
race_raw_2,0.0,0.0,True
hypertriglyceridemia,0.0,0.0,True
low_hdl,0.0,0.0,True
framingham_chd_chol,0.0,0.0,True
occupation_3,0.0,0.0,True
smoking_status_-1,0.0,0.0,True
occupation_2,0.0,0.0,True
smoking_status_2,0.0,0.0,True
physical_activity_ipaq_-1,0.0,0.0,True
physical_activity_ipaq_1,0.0,0.0,True
physical_activity_ipaq_2,0.0,0.0,True
alcohol_use_-1,0.0,0.0,True
alcohol_use_0,0.0,0.0,True
alcohol_use_1,0.0,0.0,True
alcohol_use_2,0.0,0.0,True
