k,AUC,Std,Vars
1,0.6911898364460171,0.030157451275737317,['age']
2,0.7565990264904124,0.01787902879085744,"['age', 'bmi']"
3,0.7990017666915062,0.010342319137577452,"['age', 'bmi', 'history_surgery']"
4,0.8138103985655551,0.011646512869921443,"['age', 'bmi', 'history_surgery', 'frequent_symptoms']"
5,0.8204027052207697,0.015560679270726484,"['age', 'bmi', 'history_surgery', 'frequent_symptoms', 'history_trauma']"
6,0.8238796280464985,0.013661437974445247,"['age', 'bmi', 'history_surgery', 'frequent_symptoms', 'history_trauma', 'occupation_4']"
7,0.8267852673010374,0.012296443274512566,"['age', 'bmi', 'history_surgery', 'frequent_symptoms', 'history_trauma', 'occupation_4', 'knee_disability']"
8,0.8287493868289355,0.010644356920345887,"['age', 'bmi', 'history_surgery', 'frequent_symptoms', 'history_trauma', 'occupation_4', 'knee_disability', 'waist_hip_ratio']"
9,0.8290945443795377,0.008169599074890793,"['age', 'bmi', 'history_surgery', 'frequent_symptoms', 'history_trauma', 'occupation_4', 'knee_disability', 'waist_hip_ratio', 'recent_pain_7d']"
10,0.8295758495615093,0.009772780842315346,"['age', 'bmi', 'history_surgery', 'frequent_symptoms', 'history_trauma', 'occupation_4', 'knee_disability', 'waist_hip_ratio', 'recent_pain_7d', 'race_raw_3']"
