Feature,Importance_Mean,Importance_Std
age,0.1239776316200642,0.026900538404850405
bmi,0.0751146721606929,0.018811118426095855
history_surgery,0.02946446569492445,0.011466697356608196
history_trauma,0.014295662771161892,0.006667986944284336
frequent_symptoms,0.007138283473728917,0.003363333909541355
occupation_4,0.005756053274512527,0.004097176313762511
knee_disability,0.004661640273319836,0.002563712914200952
recent_pain_7d,0.004321444867698194,0.0029407684065679224
waist_hip_ratio,0.0041290175207359826,0.003689944839586562
race_raw_3,0.0026600717791452145,0.00378293829858816
