Step,Variable,AUC,Gain
1,age,0.6911898364460171,0.19118983644601706
2,bmi,0.7565990264904124,0.06540919004439538
3,history_surgery,0.7990017666915062,0.0424027402010938
4,frequent_symptoms,0.8138103985655551,0.014808631874048905
5,history_trauma,0.8204027052207697,0.006592306655214597
6,occupation_4,0.8238796280464985,0.0034769228257287565
7,knee_disability,0.8267852673010374,0.0029056392545389054
8,waist_hip_ratio,0.8287493868289355,0.0019641195278981005
9,recent_pain_7d,0.8290945443795377,0.0003451575506021598
10,race_raw_3,0.8295758495615093,0.0004813051819716474
