config,Model,n_features,AUC,AUC_CI_Low,AUC_CI_High
canonical,Stepwise Logistic Regression,6,0.8104254078553481,0.790403550272952,0.8298401795156019
canonical,XGBoost,57,0.8033307685834165,0.7833310414258255,0.8228530475073614
canonical,Random Forest,57,0.7851450431653968,0.7644193269332166,0.8052269604374799
canonical,Neural Network,57,0.7417252661019116,0.7151538304691216,0.7660668582811471
drop_surgery,Stepwise Logistic Regression,5,0.7916865216198581,0.7707564753206783,0.8111122602369021
drop_surgery,XGBoost,56,0.7858327713835114,0.764829984139231,0.8057939631919694
drop_surgery,Random Forest,56,0.774044803703732,0.7524382818339044,0.794312434961151
drop_surgery,Neural Network,56,0.7338584695219181,0.7104647924175748,0.755608525182749
drop_surgery_trauma,Stepwise Logistic Regression,4,0.7597049736111279,0.737540090650538,0.7807433564182514
drop_surgery_trauma,XGBoost,55,0.7638258782537988,0.7415824906239683,0.7859000343729691
drop_surgery_trauma,Random Forest,55,0.7585273380846782,0.7371345670283332,0.7799061641338498
drop_surgery_trauma,Neural Network,55,0.7191268228759662,0.6944078473754757,0.7414761922615838
