seed,Model,AUC
0,Stepwise (Full),0.8145334332083854
0,XGBoost,0.7986228066364005
0,Random Forest,0.7770623361343618
0,Neural Network,0.728069746367149
1,Stepwise (Full),0.8145334332083854
1,XGBoost,0.7986228066364005
1,Random Forest,0.7730649056880645
1,Neural Network,0.7524681479153338
2,Stepwise (Full),0.8145334332083854
2,XGBoost,0.7986228066364005
2,Random Forest,0.7773945880661455
2,Neural Network,0.7532369846094765
3,Stepwise (Full),0.8145334332083854
3,XGBoost,0.7986228066364005
3,Random Forest,0.7769733540195067
3,Neural Network,0.7680414490138987
4,Stepwise (Full),0.8145334332083854
4,XGBoost,0.7986228066364005
4,Random Forest,0.7766866338716404
4,Neural Network,0.7535840668937358
5,Stepwise (Full),0.8145334332083854
5,XGBoost,0.7986228066364005
5,Random Forest,0.7762794496326105
5,Neural Network,0.7450642895779829
6,Stepwise (Full),0.8145334332083854
6,XGBoost,0.7986228066364005
6,Random Forest,0.7786783241909847
6,Neural Network,0.773369968640309
7,Stepwise (Full),0.8145334332083854
7,XGBoost,0.7986228066364005
7,Random Forest,0.7772631963468419
7,Neural Network,0.7717980813686802
8,Stepwise (Full),0.8145334332083854
8,XGBoost,0.7986228066364005
8,Random Forest,0.7777151318249217
8,Neural Network,0.7389420859124921
9,Stepwise (Full),0.8145334332083854
9,XGBoost,0.7986228066364005
9,Random Forest,0.7780125194193058
9,Neural Network,0.7818885751387614
